종목,상승확률,상승여부
Marathon Petroleum,90.56,상승
MarketAxess,97.68,상승
Marriott International,91.59,상승
Marsh McLennan,96.57,상승
Martin Marietta Materials,27.09,하락
Masco,18.67,하락
Mastercard,99.95,상승
Match Group,0.57,하락
McCormick & Company,96.96,상승
McDonald's,89.93,상승
McKesson Corporation,80.46,상승
Medtronic,99.36,상승
Merck & Co-,74.26,상승
Meta Platforms,13.09,하락
MetLife,5.14,하락
Mettler Toledo,5.93,하락
MGM Resorts,40.18,하락
Microchip Technology,27.63,하락
Micron Technology,0.42,하락
Microsoft,35.33,하락
Mid-America Apartment Communities,99.86,상승
Moderna,66.68,상승
Mohawk Industries,0.27,하락
Molina Healthcare,83.8,상승
Molson Coors Beverage Company,45.64,하락
Mondelez International,2.58,하락
Monolithic Power Systems,0.53,하락
Monster Beverage,77.05,상승
Moody's Corporation,94.25,상승
Morgan Stanley,93.82,상승
Mosaic Company (The),25.78,하락
Motorola Solutions,0.0,하락
MSCI Inc-,7.69,하락
"Nasdaq, Inc-",60.75,상승
NetApp,52.42,상승
Netflix,94.29,상승
Newmont,82.05,상승
News Corp (Class A),0.64,하락
News Corp (Class B),1.18,하락
NextEra Energy,96.0,상승
"Nike, Inc-",1.24,하락
NiSource,91.09,상승
Nordson Corporation,99.95,상승
Norfolk Southern,87.05,상승
Northern Trust,81.56,상승
Northrop Grumman,75.86,상승
Norwegian Cruise Line Holdings,81.56,상승
NRG Energy,12.95,하락
Nucor,98.78,상승
Nvidia,0.2,하락
"NVR, Inc-",97.27,상승
NXP Semiconductors,0.85,하락
O’Reilly Automotive,77.86,상승
Occidental Petroleum,0.02,하락
Old Dominion,10.51,하락
Omnicom Group,45.2,하락
ON Semiconductor,0.33,하락
Oneok,26.71,하락
Oracle Corporation,99.24,상승
Otis Worldwide,98.56,상승
Paccar,5.99,하락
Packaging Corporation of America,79.68,상승
Palantir Technologies,99.3,상승
Palo Alto Networks,99.98,상승
Paramount Global,46.39,하락
Parker Hannifin,16.65,하락
Paychex,92.04,상승
Paycom,50.32,상승
PayPal,0.12,하락
Pentair,34.47,하락
PepsiCo,1.36,하락
Pfizer,64.09,상승
PG&E Corporation,13.67,하락
Philip Morris International,99.39,상승
Phillips 66,23.32,하락
Pinnacle West Capital,71.7,상승
PNC Financial Services,79.4,상승
Pool Corporation,99.22,상승
PPG Industries,32.33,하락
PPL Corporation,92.71,상승
Principal Financial Group,28.64,하락
Procter & Gamble,38.45,하락
Progressive Corporation,100.0,상승
Prologis,95.32,상승
Prudential Financial,86.31,상승
Public Service Enterprise Group,99.9,상승
PTC Inc-,51.01,상승
Public Storage,99.91,상승
PulteGroup,11.32,하락
Quanta Services,69.25,상승
Qualcomm,0.01,하락
Quest Diagnostics,99.95,상승
Ralph Lauren Corporation,7.38,하락
Raymond James Financial,25.34,하락
RTX Corporation,54.92,상승
Realty Income,75.76,상승
Regency Centers,70.07,상승
Regeneron Pharmaceuticals,0.0,하락
Regions Financial Corporation,28.85,하락
Republic Services,93.78,상승
ResMed,59.24,상승
Revvity,24.21,하락
Rockwell Automation,18.13,하락
"Rollins, Inc-",52.48,상승
Roper Technologies,95.59,상승
Ross Stores,69.47,상승
Royal Caribbean Group,98.46,상승
S&P Global,23.06,하락
Salesforce,4.97,하락
SBA Communications,31.15,하락
Schlumberger,1.27,하락
Seagate Technology,44.23,하락
Sempra,97.38,상승
ServiceNow,11.82,하락
Sherwin-Williams,99.64,상승
Simon Property Group,99.15,상승
Skyworks Solutions,6.21,하락
J-M- Smucker Company (The),11.41,하락
Smurfit Westrock,3.94,하락
Snap-on,5.0,하락
Solventum,64.51,상승
Southern Company,99.36,상승
Southwest Airlines,0.9,하락
Stanley Black & Decker,2.72,하락
Starbucks,16.88,하락
State Street Corporation,9.91,하락
Steel Dynamics,3.5,하락
Steris,26.55,하락
Stryker Corporation,65.68,상승
Supermicro,11.18,하락
Synchrony Financial,15.68,하락
Synopsys,95.38,상승
Sysco,91.28,상승
T-Mobile US,98.19,상승
T- Rowe Price,7.58,하락
Take-Two Interactive,96.47,상승
"Tapestry, Inc-",87.44,상승
Targa Resources,20.36,하락
Target Corporation,23.56,하락
TE Connectivity,30.39,하락
Teledyne Technologies,95.83,상승
Teradyne,0.77,하락
"Tesla, Inc-",0.25,하락
Texas Instruments,8.86,하락
Texas Pacific Land Corporation,0.08,하락
Textron,95.32,상승
Thermo Fisher Scientific,56.71,상승
TJX Companies,83.19,상승
TKO Group Holdings,90.36,상승
Tractor Supply,39.27,하락
Trane Technologies,2.92,하락
TransDigm Group,75.62,상승
Travelers Companies (The),74.19,상승
Trimble Inc-,0.68,하락
Truist Financial,79.1,상승
Tyler Technologies,95.12,상승
Tyson Foods,20.89,하락
U-S- Bancorp,42.26,하락
Uber,60.35,상승
"UDR, Inc-",99.1,상승
Ulta Beauty,100.0,상승
Union Pacific Corporation,25.28,하락
United Airlines Holdings,78.87,상승
United Parcel Service,17.18,하락
United Rentals,3.65,하락
UnitedHealth Group,99.57,상승
Universal Health Services,97.84,상승
Valero Energy,76.89,상승
Ventas,73.75,상승
Veralto,5.5,하락
Verisign,100.0,상승
Verisk Analytics,49.45,하락
Verizon,85.7,상승
Vertex Pharmaceuticals,0.06,하락
Viatris,74.33,상승
Vici Properties,52.01,상승
Visa Inc-,99.35,상승
Vistra Corp-,8.95,하락
Vulcan Materials Company,24.16,하락
W- R- Berkley Corporation,95.95,상승
W- W- Grainger,15.72,하락
Wabtec,84.91,상승
Walgreens Boots Alliance,15.44,하락
Walmart,99.02,상승
Walt Disney Company (The),80.98,상승
Warner Bros- Discovery,0.79,하락
Waste Management,98.96,상승
Waters Corporation,3.57,하락
WEC Energy Group,85.95,상승
Wells Fargo,84.64,상승
Welltower,57.68,상승
West Pharmaceutical Services,66.0,상승
Western Digital,0.74,하락
Weyerhaeuser,92.44,상승
"Williams-Sonoma, Inc-",0.18,하락
Williams Companies,14.75,하락
Willis Towers Watson,36.38,하락
"Workday, Inc-",79.07,상승
Wynn Resorts,97.32,상승
Xcel Energy,99.83,상승
Xylem Inc-,91.47,상승
Yum! Brands,56.42,상승
Zebra Technologies,2.14,하락
Zimmer Biomet,4.29,하락
Zoetis,13.76,하락
