종목,상승확률,상승여부
GE Aerospace,7.35,하락
GE HealthCare,50.24,상승
GE Vernova,29.19,하락
Gen Digital,1.54,하락
Generac,39.33,하락
General Dynamics,76.97,상승
General Mills,99.26,상승
General Motors,97.94,상승
Genuine Parts Company,6.34,하락
Gilead Sciences,99.93,상승
Global Payments,83.65,상승
Globe Life,84.59,상승
GoDaddy,96.97,상승
Goldman Sachs,42.57,하락
Halliburton,83.15,상승
Hartford (The),94.85,상승
Hasbro,96.52,상승
HCA Healthcare,42.8,하락
Healthpeak Properties,92.99,상승
Henry Schein,0.08,하락
Hershey Company (The),99.76,상승
Hess Corporation,99.77,상승
Hewlett Packard Enterprise,0.67,하락
Hilton Worldwide,34.9,하락
Hologic,4.41,하락
Home Depot (The),77.67,상승
Honeywell,16.22,하락
Hormel Foods,99.63,상승
Host Hotels & Resorts,90.19,상승
Howmet Aerospace,16.41,하락
HP Inc-,0.0,하락
Hubbell Incorporated,27.22,하락
Humana,91.31,상승
Huntington Bancshares,99.54,상승
Huntington Ingalls Industries,1.02,하락
IBM,10.5,하락
IDEX Corporation,87.25,상승
Idexx Laboratories,11.71,하락
Illinois Tool Works,99.53,상승
Incyte,87.46,상승
Ingersoll Rand,69.92,상승
Insulet Corporation,1.55,하락
Intel,55.08,상승
Intercontinental Exchange,98.62,상승
International Flavors & Fragrances,99.02,상승
International Paper,23.85,하락
Interpublic Group of Companies (The),54.7,상승
Intuit,6.06,하락
Intuitive Surgical,92.25,상승
Invesco,96.61,상승
Invitation Homes,99.04,상승
IQVIA,13.84,하락
Iron Mountain,95.98,상승
J-B- Hunt,96.54,상승
Jabil,55.99,상승
Jack Henry & Associates,0.34,하락
Jacobs Solutions,7.74,하락
Johnson & Johnson,99.56,상승
Johnson Controls,42.31,하락
JPMorgan Chase,73.53,상승
Juniper Networks,20.0,하락
Kellanova,99.25,상승
Kenvue,16.69,하락
Keurig Dr Pepper,99.96,상승
KeyCorp,98.38,상승
Keysight Technologies,4.45,하락
Kimberly-Clark,99.47,상승
Kimco Realty,99.37,상승
Kinder Morgan,66.21,상승
KKR & Co-,91.19,상승
KLA Corporation,46.93,하락
Kraft Heinz,99.78,상승
Kroger,35.18,하락
L3Harris,1.81,하락
Labcorp,39.94,하락
Lam Research,42.01,하락
Lamb Weston,93.64,상승
Las Vegas Sands,96.03,상승
Leidos,3.05,하락
Lennar,88.92,상승
Lennox International,43.34,하락
Lilly (Eli),90.26,상승
Linde plc,78.33,상승
Live Nation Entertainment,0.0,하락
LKQ Corporation,90.23,상승
Lockheed Martin,98.28,상승
Loews Corporation,99.66,상승
Lowe's,70.67,상승
Lululemon Athletica,74.85,상승
LyondellBasell,96.54,상승
M&T Bank,90.7,상승
Marathon Petroleum,76.13,상승
MarketAxess,82.03,상승
Marriott International,84.79,상승
Marsh McLennan,99.08,상승
Martin Marietta Materials,89.77,상승
Masco,97.14,상승
Mastercard,97.31,상승
Match Group,0.62,하락
McCormick & Company,99.58,상승
McDonald's,92.99,상승
McKesson Corporation,67.06,상승
Medtronic,99.56,상승
Merck & Co-,99.49,상승
Meta Platforms,29.21,하락
MetLife,98.12,상승
Mettler Toledo,97.71,상승
MGM Resorts,57.15,상승
Microchip Technology,19.91,하락
Micron Technology,84.81,상승
Microsoft,8.97,하락
Mid-America Apartment Communities,98.86,상승
Moderna,98.45,상승
Mohawk Industries,44.97,하락
Molina Healthcare,96.93,상승
Molson Coors Beverage Company,97.66,상승
Mondelez International,99.95,상승
Monolithic Power Systems,83.64,상승
Monster Beverage,30.58,하락
Moody's Corporation,99.95,상승
Morgan Stanley,99.38,상승
Mosaic Company (The),12.04,하락
Motorola Solutions,0.3,하락
MSCI Inc-,91.3,상승
"Nasdaq, Inc-",94.57,상승
NetApp,11.58,하락
Netflix,0.22,하락
Newmont,76.17,상승
News Corp (Class A),47.34,하락
News Corp (Class B),84.49,상승
NextEra Energy,99.18,상승
"Nike, Inc-",42.66,하락
NiSource,95.74,상승
Nordson Corporation,100.0,상승
Norfolk Southern,99.58,상승
Northern Trust,86.72,상승
Northrop Grumman,99.41,상승
Norwegian Cruise Line Holdings,88.98,상승
NRG Energy,0.18,하락
Nucor,71.47,상승
Nvidia,97.06,상승
"NVR, Inc-",99.71,상승
NXP Semiconductors,34.76,하락
O’Reilly Automotive,81.31,상승
Occidental Petroleum,96.15,상승
Old Dominion,15.97,하락
Omnicom Group,95.17,상승
ON Semiconductor,42.25,하락
Oneok,83.26,상승
Oracle Corporation,12.09,하락
Otis Worldwide,96.24,상승
Paccar,84.98,상승
Packaging Corporation of America,24.82,하락
Palantir Technologies,1.36,하락
Palo Alto Networks,1.0,하락
Paramount Global,68.7,상승
Parker Hannifin,22.88,하락
Paychex,24.3,하락
Paycom,0.0,하락
PayPal,0.83,하락
Pentair,98.08,상승
PepsiCo,99.82,상승
Pfizer,83.72,상승
PG&E Corporation,99.85,상승
Philip Morris International,78.96,상승
Phillips 66,99.84,상승
Pinnacle West Capital,97.39,상승
PNC Financial Services,89.33,상승
Pool Corporation,99.93,상승
PPG Industries,92.75,상승
PPL Corporation,92.37,상승
Principal Financial Group,97.34,상승
Procter & Gamble,98.87,상승
Progressive Corporation,80.96,상승
Prologis,98.63,상승
Prudential Financial,98.83,상승
Public Service Enterprise Group,99.92,상승
PTC Inc-,11.82,하락
Public Storage,99.93,상승
PulteGroup,85.84,상승
Quanta Services,25.69,하락
Qualcomm,74.8,상승
Quest Diagnostics,99.72,상승
Ralph Lauren Corporation,0.42,하락
Raymond James Financial,99.67,상승
RTX Corporation,96.65,상승
Realty Income,99.61,상승
Regency Centers,99.84,상승
Regeneron Pharmaceuticals,97.79,상승
Regions Financial Corporation,97.14,상승
Republic Services,98.42,상승
ResMed,53.4,상승
Revvity,55.61,상승
Rockwell Automation,77.21,상승
"Rollins, Inc-",97.03,상승
Roper Technologies,0.24,하락
Ross Stores,2.95,하락
Royal Caribbean Group,99.05,상승
S&P Global,95.41,상승
Salesforce,0.0,하락
SBA Communications,98.46,상승
Schlumberger,96.48,상승
Seagate Technology,17.63,하락
Sempra,73.65,상승
ServiceNow,8.77,하락
Sherwin-Williams,96.4,상승
Simon Property Group,98.67,상승
Skyworks Solutions,14.16,하락
J-M- Smucker Company (The),97.53,상승
Smurfit Westrock,99.91,상승
Snap-on,96.97,상승
Solventum,75.66,상승
Southern Company,98.2,상승
Southwest Airlines,98.05,상승
Stanley Black & Decker,94.78,상승
Starbucks,0.0,하락
State Street Corporation,72.25,상승
Steel Dynamics,0.19,하락
Steris,89.12,상승
Stryker Corporation,99.26,상승
Supermicro,5.93,하락
Synchrony Financial,25.33,하락
Synopsys,4.93,하락
Sysco,80.14,상승
T-Mobile US,3.41,하락
T- Rowe Price,92.65,상승
Take-Two Interactive,14.88,하락
"Tapestry, Inc-",1.11,하락
Targa Resources,12.59,하락
Target Corporation,3.53,하락
TE Connectivity,99.24,상승
Teledyne Technologies,93.24,상승
Teradyne,97.08,상승
"Tesla, Inc-",6.62,하락
Texas Instruments,99.56,상승
Texas Pacific Land Corporation,15.98,하락
Textron,67.45,상승
Thermo Fisher Scientific,17.05,하락
TJX Companies,99.09,상승
TKO Group Holdings,0.05,하락
Tractor Supply,42.79,하락
Trane Technologies,5.99,하락
TransDigm Group,15.35,하락
Travelers Companies (The),93.6,상승
Trimble Inc-,5.39,하락
Truist Financial,85.9,상승
Tyler Technologies,33.91,하락
Tyson Foods,99.73,상승
U-S- Bancorp,99.61,상승
Uber,0.0,하락
"UDR, Inc-",99.98,상승
Ulta Beauty,48.44,하락
Union Pacific Corporation,91.62,상승
United Airlines Holdings,31.12,하락
United Parcel Service,99.28,상승
United Rentals,51.79,상승
UnitedHealth Group,98.77,상승
Universal Health Services,99.36,상승
Valero Energy,99.18,상승
Ventas,59.98,상승
Veralto,74.02,상승
Verisign,96.58,상승
Verisk Analytics,69.04,상승
Verizon,93.39,상승
Vertex Pharmaceuticals,45.35,하락
Viatris,99.45,상승
Vici Properties,95.12,상승
Visa Inc-,97.66,상승
Vistra Corp-,0.22,하락
Vulcan Materials Company,94.95,상승
W- R- Berkley Corporation,99.64,상승
W- W- Grainger,60.91,상승
Wabtec,46.85,하락
Walgreens Boots Alliance,33.64,하락
Walmart,33.86,하락
Walt Disney Company (The),80.52,상승
Warner Bros- Discovery,10.33,하락
Waste Management,98.7,상승
Waters Corporation,94.94,상승
WEC Energy Group,93.95,상승
Wells Fargo,98.76,상승
Welltower,94.29,상승
West Pharmaceutical Services,62.02,상승
Western Digital,0.98,하락
Weyerhaeuser,45.89,하락
"Williams-Sonoma, Inc-",4.78,하락
Williams Companies,3.26,하락
Willis Towers Watson,99.86,상승
"Workday, Inc-",19.18,하락
Wynn Resorts,98.88,상승
Xcel Energy,99.37,상승
Xylem Inc-,89.51,상승
Yum! Brands,99.75,상승
Zebra Technologies,68.19,상승
Zimmer Biomet,46.07,하락
Zoetis,98.57,상승
